country,smam_female,smam_year,smam_source,muslim_share,muslim_share_year,muslim_share_source,female_mean_schooling,schooling_year,schooling_source
Armenia,24.1,2015,UN WMD 2019,0.266757637,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",11.88,2020,Wittgenstein Centre v3 SSP2
Azerbaijan,24.2,2018,UN WMD 2019,94.72725677,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",11.29,2020,Wittgenstein Centre v3 SSP2
Belarus,23.08,2019,Author-computed MICS6 Hajnal,0.262307256,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",12.24,2020,Wittgenstein Centre v3 SSP2
Estonia,33.6,2018,UN WMD 2019,0.598115027,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",12.59,2020,Wittgenstein Centre v3 SSP2
Georgia,22.16,2018,Author-computed MICS6 Hajnal,10.46078014,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",12.07,2020,Wittgenstein Centre v3 SSP2
Kazakhstan,22.4,2015,UN WMD 2019,77.90452576,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",11.83,2020,Wittgenstein Centre v3 SSP2
Kyrgyzstan,21.4,2018,Author-computed MICS6 Hajnal,91.71746826,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",10.82,2020,Wittgenstein Centre v3 SSP2
Latvia,30.4,2018,UN WMD 2019,0.670408607,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",12.46,2020,Wittgenstein Centre v3 SSP2
Lithuania,32.7,2018,UN WMD 2019,0.089217022,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",12.42,2020,Wittgenstein Centre v3 SSP2
Moldova,25.0,2014,UN WMD 2019,0.181239218,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",10.51,2020,Wittgenstein Centre v3 SSP2
Russia,24.86,2021,Author-computed Census VPN-2020 Hajnal,8.193008423,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",11.73,2020,Wittgenstein Centre v3 SSP2
Tajikistan,20.7,2017,UN WMD 2019,98.91412354,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",10.52,2020,Wittgenstein Centre v3 SSP2
Ukraine,23.0,2012,UN WMD 2019,0.567826331,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",11.32,2020,Wittgenstein Centre v3 SSP2
Uzbekistan,21.69,2022,Author-computed MICS6 Hajnal,95.62223053,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",11.46,2020,Wittgenstein Centre v3 SSP2
