country,mean_tfr,mean_log_gdp_ppp,mean_urban,mean_remittances,mean_under5_mort,bloc,ca,smam_female,muslim_share,female_mean_schooling
Armenia,1.574,9.290597876173775,64.71458648116662,14.435842601989153,18.420833333333334,Rest of post-Soviet,0,24.1,0.08,11.88
Azerbaijan,1.879,9.619617823985815,54.47421449359587,2.8035026103200313,38.637499999999996,Rest of post-Soviet,0,24.2,95.62,11.29
Belarus,1.42,9.961547550424493,74.81096240499151,1.424686247576366,6.041666666666667,Rest of post-Soviet,0,23.08,0.2,12.24
Estonia,1.544,10.410773326923076,68.39387383174305,1.5192644516709013,4.979166666666667,Rest of post-Soviet,0,33.6,0.19,12.59
Georgia,1.869,9.392368318677395,55.89620902511803,9.946764599087928,16.6125,Rest of post-Soviet,0,22.16,10.48,12.07
Kazakhstan,2.592,10.144480457009434,56.448651318191786,0.20414063550821634,20.7,Central Asia,1,22.4,78.07,11.83
Kyrgyzstan,2.924,8.513847318290766,35.12691236015228,21.376704428589022,29.5,Central Asia,1,21.4,89.62,10.82
Latvia,1.476,10.195438498530615,67.96750170163347,3.7690084515258246,7.4375,Rest of post-Soviet,0,30.4,0.11,12.46
Lithuania,1.449,10.3141303656394,67.10637953180118,2.5630388689682913,6.383333333333333,Rest of post-Soviet,0,32.7,0.11,12.42
Moldova,1.666,9.232390926879152,40.06567923227946,21.51875104978932,18.545833333333334,Rest of post-Soviet,0,25.0,0.11,10.51
Russia,1.503,10.368466555190293,73.93735489062897,0.38087783935347913,10.529166666666667,Rest of post-Soviet,0,24.86,10.2,11.73
Tajikistan,3.367,7.8580608740144795,26.419094335633215,31.403810647279382,41.704166666666666,Central Asia,1,20.7,98.89,10.52
Ukraine,1.277,9.664761885629305,68.58649372191984,5.956055588803767,11.733333333333334,Rest of post-Soviet,0,23.0,1.2,11.32
Uzbekistan,2.675,8.697801689671513,50.68622332089928,9.735483185507903,30.808333333333334,Central Asia,1,21.69,95.62,11.46
