country,year,tfr,subgroup,bloc
Estonia,2000,1.347264,Baltic,Rest of post-Soviet
Estonia,2001,1.315406,Baltic,Rest of post-Soviet
Estonia,2002,1.353164,Baltic,Rest of post-Soviet
Estonia,2003,1.364778,Baltic,Rest of post-Soviet
Estonia,2004,1.464967,Baltic,Rest of post-Soviet
Estonia,2005,1.514667,Baltic,Rest of post-Soviet
Estonia,2006,1.582784,Baltic,Rest of post-Soviet
Estonia,2007,1.684803,Baltic,Rest of post-Soviet
Estonia,2008,1.718613,Baltic,Rest of post-Soviet
Estonia,2009,1.700792,Baltic,Rest of post-Soviet
Estonia,2010,1.715837,Baltic,Rest of post-Soviet
Estonia,2011,1.615645,Baltic,Rest of post-Soviet
Estonia,2012,1.561469,Baltic,Rest of post-Soviet
Estonia,2013,1.5239,Baltic,Rest of post-Soviet
Estonia,2014,1.542711,Baltic,Rest of post-Soviet
Estonia,2015,1.580458,Baltic,Rest of post-Soviet
Estonia,2016,1.603494,Baltic,Rest of post-Soviet
Estonia,2017,1.595724,Baltic,Rest of post-Soviet
Estonia,2018,1.670176,Baltic,Rest of post-Soviet
Estonia,2019,1.661437,Baltic,Rest of post-Soviet
Estonia,2020,1.587592,Baltic,Rest of post-Soviet
Estonia,2021,1.59408,Baltic,Rest of post-Soviet
Estonia,2022,1.41,Baltic,Rest of post-Soviet
Estonia,2023,1.35,Baltic,Rest of post-Soviet
Latvia,2000,1.244485,Baltic,Rest of post-Soviet
Latvia,2001,1.222852,Baltic,Rest of post-Soviet
Latvia,2002,1.257519,Baltic,Rest of post-Soviet
Latvia,2003,1.32183,Baltic,Rest of post-Soviet
Latvia,2004,1.296752,Baltic,Rest of post-Soviet
Latvia,2005,1.389376,Baltic,Rest of post-Soviet
Latvia,2006,1.463824,Baltic,Rest of post-Soviet
Latvia,2007,1.542382,Baltic,Rest of post-Soviet
Latvia,2008,1.585392,Baltic,Rest of post-Soviet
Latvia,2009,1.471832,Baltic,Rest of post-Soviet
Latvia,2010,1.367074,Baltic,Rest of post-Soviet
Latvia,2011,1.342888,Baltic,Rest of post-Soviet
Latvia,2012,1.444325,Baltic,Rest of post-Soviet
Latvia,2013,1.527422,Baltic,Rest of post-Soviet
Latvia,2014,1.64598,Baltic,Rest of post-Soviet
Latvia,2015,1.706456,Baltic,Rest of post-Soviet
Latvia,2016,1.742342,Baltic,Rest of post-Soviet
Latvia,2017,1.698427,Baltic,Rest of post-Soviet
Latvia,2018,1.61249,Baltic,Rest of post-Soviet
Latvia,2019,1.609161,Baltic,Rest of post-Soviet
Latvia,2020,1.5462,Baltic,Rest of post-Soviet
Latvia,2021,1.5716,Baltic,Rest of post-Soviet
Latvia,2022,1.47,Baltic,Rest of post-Soviet
Latvia,2023,1.337526,Baltic,Rest of post-Soviet
Lithuania,2000,1.383066,Baltic,Rest of post-Soviet
Lithuania,2001,1.281169,Baltic,Rest of post-Soviet
Lithuania,2002,1.231351,Baltic,Rest of post-Soviet
Lithuania,2003,1.26048,Baltic,Rest of post-Soviet
Lithuania,2004,1.271054,Baltic,Rest of post-Soviet
Lithuania,2005,1.291236,Baltic,Rest of post-Soviet
Lithuania,2006,1.322227,Baltic,Rest of post-Soviet
Lithuania,2007,1.358856,Baltic,Rest of post-Soviet
Lithuania,2008,1.444071,Baltic,Rest of post-Soviet
Lithuania,2009,1.499453,Baltic,Rest of post-Soviet
Lithuania,2010,1.499202,Baltic,Rest of post-Soviet
Lithuania,2011,1.548247,Baltic,Rest of post-Soviet
Lithuania,2012,1.591134,Baltic,Rest of post-Soviet
Lithuania,2013,1.58291,Baltic,Rest of post-Soviet
Lithuania,2014,1.628049,Baltic,Rest of post-Soviet
Lithuania,2015,1.705244,Baltic,Rest of post-Soviet
Lithuania,2016,1.692274,Baltic,Rest of post-Soviet
Lithuania,2017,1.633237,Baltic,Rest of post-Soviet
Lithuania,2018,1.635176,Baltic,Rest of post-Soviet
Lithuania,2019,1.610225,Baltic,Rest of post-Soviet
Lithuania,2020,1.487075,Baltic,Rest of post-Soviet
Lithuania,2021,1.35873,Baltic,Rest of post-Soviet
Lithuania,2022,1.27,Baltic,Rest of post-Soviet
Lithuania,2023,1.201006,Baltic,Rest of post-Soviet
Armenia,2000,1.469829,Caucasus,Rest of post-Soviet
Armenia,2001,1.402,Caucasus,Rest of post-Soviet
Armenia,2002,1.405,Caucasus,Rest of post-Soviet
Armenia,2003,1.472834,Caucasus,Rest of post-Soviet
Armenia,2004,1.490542,Caucasus,Rest of post-Soviet
Armenia,2005,1.492145,Caucasus,Rest of post-Soviet
Armenia,2006,1.494005,Caucasus,Rest of post-Soviet
Armenia,2007,1.519056,Caucasus,Rest of post-Soviet
Armenia,2008,1.541028,Caucasus,Rest of post-Soviet
Armenia,2009,1.574183,Caucasus,Rest of post-Soviet
Armenia,2010,1.587759,Caucasus,Rest of post-Soviet
Armenia,2011,1.615303,Caucasus,Rest of post-Soviet
Armenia,2012,1.647433,Caucasus,Rest of post-Soviet
Armenia,2013,1.668943,Caucasus,Rest of post-Soviet
Armenia,2014,1.663358,Caucasus,Rest of post-Soviet
Armenia,2015,1.62067,Caucasus,Rest of post-Soviet
Armenia,2016,1.6248,Caucasus,Rest of post-Soviet
Armenia,2017,1.56087,Caucasus,Rest of post-Soviet
Armenia,2018,1.56746,Caucasus,Rest of post-Soviet
Armenia,2019,1.60075,Caucasus,Rest of post-Soviet
Armenia,2020,1.619121,Caucasus,Rest of post-Soviet
Armenia,2021,1.7095,Caucasus,Rest of post-Soviet
Armenia,2022,1.719447,Caucasus,Rest of post-Soviet
Armenia,2023,1.713989,Caucasus,Rest of post-Soviet
Azerbaijan,2000,1.698,Caucasus,Rest of post-Soviet
Azerbaijan,2001,1.5895,Caucasus,Rest of post-Soviet
Azerbaijan,2002,1.5765,Caucasus,Rest of post-Soviet
Azerbaijan,2003,1.590928,Caucasus,Rest of post-Soviet
Azerbaijan,2004,1.965471,Caucasus,Rest of post-Soviet
Azerbaijan,2005,1.98187,Caucasus,Rest of post-Soviet
Azerbaijan,2006,2.019311,Caucasus,Rest of post-Soviet
Azerbaijan,2007,1.96811,Caucasus,Rest of post-Soviet
Azerbaijan,2008,1.90432,Caucasus,Rest of post-Soviet
Azerbaijan,2009,1.82076,Caucasus,Rest of post-Soviet
Azerbaijan,2010,1.924,Caucasus,Rest of post-Soviet
Azerbaijan,2011,1.98,Caucasus,Rest of post-Soviet
Azerbaijan,2012,2.141852,Caucasus,Rest of post-Soviet
Azerbaijan,2013,2.147511,Caucasus,Rest of post-Soviet
Azerbaijan,2014,2.130517,Caucasus,Rest of post-Soviet
Azerbaijan,2015,2.091657,Caucasus,Rest of post-Soviet
Azerbaijan,2016,2.032279,Caucasus,Rest of post-Soviet
Azerbaijan,2017,1.961045,Caucasus,Rest of post-Soviet
Azerbaijan,2018,1.905225,Caucasus,Rest of post-Soviet
Azerbaijan,2019,1.845177,Caucasus,Rest of post-Soviet
Azerbaijan,2020,1.764272,Caucasus,Rest of post-Soviet
Azerbaijan,2021,1.710071,Caucasus,Rest of post-Soviet
Azerbaijan,2022,1.687181,Caucasus,Rest of post-Soviet
Azerbaijan,2023,1.670472,Caucasus,Rest of post-Soviet
Georgia,2000,1.609324,Caucasus,Rest of post-Soviet
Georgia,2001,1.579177,Caucasus,Rest of post-Soviet
Georgia,2002,1.570594,Caucasus,Rest of post-Soviet
Georgia,2003,1.551747,Caucasus,Rest of post-Soviet
Georgia,2004,1.565929,Caucasus,Rest of post-Soviet
Georgia,2005,1.583265,Caucasus,Rest of post-Soviet
Georgia,2006,1.616842,Caucasus,Rest of post-Soviet
Georgia,2007,1.6968,Caucasus,Rest of post-Soviet
Georgia,2008,1.831635,Caucasus,Rest of post-Soviet
