country,year,tfr,subgroup,bloc,gdp_per_capita_usd,urban_pop_pct,flfp_pct,remittances_gdp_pct,female_tert_educ_pct,gdp_per_capita_usd_interp,urban_pop_pct_interp,flfp_pct_interp,remittances_gdp_pct_interp,female_tert_educ_pct_interp
Armenia,2000,1.469829,Caucasus,Rest of post-Soviet,593.450581742282,64.959237917436,54.459,9.52937131880005,36.458179473877,False,False,False,False,False
Armenia,2001,1.402,Caucasus,Rest of post-Soviet,659.588988535629,64.8228123790872,54.317,9.87694921780921,35.4469299316406,False,False,False,False,False
Armenia,2002,1.405,Caucasus,Rest of post-Soviet,742.651118319819,64.7396211980252,54.029,11.1049155369612,38.3072319030762,False,False,False,False,False
Armenia,2003,1.472834,Caucasus,Rest of post-Soviet,882.030167695474,64.6663537455064,53.753,11.9648272324739,38.8413581848145,False,False,False,False,False
Armenia,2004,1.490542,Caucasus,Rest of post-Soviet,1130.08791444158,64.5972633621116,53.518,22.0185694314846,41.1221504211426,False,False,False,False,False
Armenia,2005,1.492145,Caucasus,Rest of post-Soviet,1557.48458908655,64.5334210637509,53.338,18.6763974290117,43.0884094238281,False,False,False,False,False
Armenia,2006,1.494005,Caucasus,Rest of post-Soviet,2041.65267068997,64.4758978663344,53.243,18.3128176140903,46.5598487854004,False,False,False,False,False
Armenia,2007,1.519056,Caucasus,Rest of post-Soviet,2962.70234594569,64.4257647857723,53.273,17.86140864212,49.5892791748047,False,False,False,False,False
Armenia,2008,1.541028,Caucasus,Rest of post-Soviet,3777.66859313767,64.3840928379746,52.96,16.3270491787545,51.9514617919922,False,False,False,False,False
Armenia,2009,1.574183,Caucasus,Rest of post-Soviet,2820.5926553347,64.3519530388516,54.373,16.6491640509821,53.7788314819336,False,False,False,False,False
Armenia,2010,1.587759,Caucasus,Rest of post-Soviet,3041.34450723339,64.3304164043132,54.4,18.0268391620613,54.9448066404822,False,False,False,False,False
Armenia,2011,1.615303,Caucasus,Rest of post-Soviet,3349.55309771906,64.3207449145194,54.222,17.7342226487981,54.928687049735,False,False,False,False,False
Armenia,2012,1.647433,Caucasus,Rest of post-Soviet,3511.56399687426,64.3268379506998,53.928,18.0330178717679,47.6724416529669,False,False,False,False,False
Armenia,2013,1.668943,Caucasus,Rest of post-Soviet,3680.16692158886,64.3584061131466,53.878,19.7113773941979,47.2975713824265,False,False,False,False,False
Armenia,2014,1.663358,Caucasus,Rest of post-Soviet,3852.11800610384,64.4142934233291,53.835,17.9044398383763,50.7360867668963,False,False,False,False,False
Armenia,2015,1.62067,Caucasus,Rest of post-Soviet,3512.39350276709,64.4929623431549,53.826,14.1327414277054,53.1382998072096,False,False,False,False,False
Armenia,2016,1.6248,Caucasus,Rest of post-Soviet,3524.42476874707,64.5928753345316,53.881,13.1074628255062,60.9481935381187,False,False,False,False,False
Armenia,2017,1.56087,Caucasus,Rest of post-Soviet,3869.05373867752,64.7124948593667,53.766,13.3477446383999,62.0346194758727,False,False,False,False,False
Armenia,2018,1.56746,Caucasus,Rest of post-Soviet,4196.00562301769,64.8502833795679,53.631,11.9427034082853,65.0200757141218,False,False,False,False,False
Armenia,2019,1.60075,Caucasus,Rest of post-Soviet,4597.22887399548,65.0047033570428,50.799,11.2189210772298,59.9717740488692,False,False,False,False,False
Armenia,2020,1.619121,Caucasus,Rest of post-Soviet,4268.68093304583,65.174217253699,54.317,10.4970552541265,59.5712079237049,False,False,False,False,False
Armenia,2021,1.7095,Caucasus,Rest of post-Soviet,4685.17997128509,65.3572875314441,55.118,11.2171827452107,63.5877617542473,False,False,False,False,False
Armenia,2022,1.719447,Caucasus,Rest of post-Soviet,6571.97445545099,65.5624462874485,50.24,10.8688335174113,64.0635593742681,False,False,False,False,False
Armenia,2023,1.713989,Caucasus,Rest of post-Soviet,8159.08720967996,65.6956882008852,51.517,6.39621098617553,63.8260087137715,False,False,False,False,False
Azerbaijan,2000,1.698,Caucasus,Rest of post-Soviet,655.097249579917,51.1320838928223,72.205,1.08356085483563,20.2459392547607,False,False,False,False,True
Azerbaijan,2001,1.5895,Caucasus,Rest of post-Soviet,703.670998584686,51.1584815979004,70.283,1.82431677750395,20.2459392547607,False,False,False,False,True
Azerbaijan,2002,1.5765,Caucasus,Rest of post-Soviet,763.108895463487,51.2144165039062,68.823,2.61890157505979,20.2459392547607,False,False,False,False,True
Azerbaijan,2003,1.590928,Caucasus,Rest of post-Soviet,883.692580745256,51.7257995605469,66.626,2.14332251762401,20.2459392547607,False,False,False,False,True
Azerbaijan,2004,1.965471,Caucasus,Rest of post-Soviet,1045.0136328106,52.2831993103027,64.222,2.34525903598978,20.2459392547607,False,False,False,False,True
Azerbaijan,2005,1.98187,Caucasus,Rest of post-Soviet,1578.36733030667,52.5028533935547,62.978,4.70528614042723,20.2459392547607,False,False,False,False,True
Azerbaijan,2006,2.019311,Caucasus,Rest of post-Soviet,2472.95725732287,52.6540145874023,61.162,3.7661645945845,20.2459392547607,False,False,False,False,False
Azerbaijan,2007,1.96811,Caucasus,Rest of post-Soviet,3851.33015175141,52.8281555175781,56.405,3.83587676218684,19.5503005981445,False,False,False,False,False
Azerbaijan,2008,1.90432,Caucasus,Rest of post-Soviet,5574.46810432575,53.063304901123,56.428,3.10805893221251,18.8704299926758,False,False,False,False,False
Azerbaijan,2009,1.82076,Caucasus,Rest of post-Soviet,4950.39949009423,53.1358125434574,58.092,2.8326399787509,18.9310798645019,False,False,False,False,False
Azerbaijan,2010,1.924,Caucasus,Rest of post-Soviet,5843.5337683582,53.2848367714869,59.793,2.66549763240316,19.156384960805,False,False,False,False,False
Azerbaijan,2011,1.98,Caucasus,Rest of post-Soviet,7189.81869211976,53.5085461893249,59.434,2.87035592504128,19.8081753121935,False,False,False,False,False
Azerbaijan,2012,2.141852,Caucasus,Rest of post-Soviet,7495.86527658099,53.8076442276208,59.237,2.85617334250334,20.9255282801565,False,False,False,False,False
Azerbaijan,2013,2.147511,Caucasus,Rest of post-Soviet,7875.34536661549,54.1821087431318,59.364,2.33704815215702,22.6238191680712,False,False,False,False,False
Azerbaijan,2014,2.130517,Caucasus,Rest of post-Soviet,7890.84028062087,54.6319175926151,60.244,2.45405271812669,24.7532298312252,False,False,False,False,False
Azerbaijan,2015,2.091657,Caucasus,Rest of post-Soviet,5500.50364628486,55.1570486328276,61.096,2.3927167997352,27.4807769396159,False,False,False,False,False
Azerbaijan,2016,2.032279,Caucasus,Rest of post-Soviet,3880.6852276838,55.7574797205266,62.043,1.69843941411199,29.6923732190209,False,False,False,False,False
Azerbaijan,2017,1.961045,Caucasus,Rest of post-Soviet,4147.1981423222,56.4331887124691,62.213,2.77334116720313,30.6803624184079,False,False,False,False,False
Azerbaijan,2018,1.905225,Caucasus,Rest of post-Soviet,4739.7943123408,57.1841534654123,62.63,2.60183768470009,31.1815621748774,False,False,False,False,False
Azerbaijan,2019,1.845177,Caucasus,Rest of post-Soviet,4805.75371765917,58.1308191977779,62.441,2.64699324657026,35.7022256823301,False,False,False,False,False
Azerbaijan,2020,1.764272,Caucasus,Rest of post-Soviet,4229.91064904503,58.2934691761937,64.382,3.2864567961961,39.2257883250787,False,False,False,False,False
Azerbaijan,2021,1.710071,Caucasus,Rest of post-Soviet,5408.04535175023,58.3659969744818,61.174,2.78454087413308,42.5577584033335,False,False,False,False,False
Azerbaijan,2022,1.687181,Caucasus,Rest of post-Soviet,7770.594223351,58.4382815854684,62.165,5.012251973723,44.8693099737731,False,False,False,False,False
Azerbaijan,2023,1.670472,Caucasus,Rest of post-Soviet,7133.02838048328,58.5075350483702,61.748,2.64096975190127,46.1470602336471,False,False,False,False,False
Belarus,2000,1.272026,Slavic,Rest of post-Soviet,1276.2880341,69.9172295434732,53.472,0.896610533841336,62.6487808227539,False,False,False,False,False
Belarus,2001,1.241296,Slavic,Rest of post-Soviet,1244.37318523431,70.3147201538086,54.121,0.543917266438404,65.0250396728516,False,False,False,False,False
Belarus,2002,1.202037,Slavic,Rest of post-Soviet,1479.38066337175,70.8804702758789,54.578,0.552247667216307,68.3930892944336,False,False,False,False,False
Belarus,2003,1.191985,Slavic,Rest of post-Soviet,1819.52653114699,71.3092422485352,54.932,0.920594142453945,71.7289276123047,False,False,False,False,False
Belarus,2004,1.195872,Slavic,Rest of post-Soviet,2378.33700470129,71.7658538818359,55.18,1.034502146352,73.3427886962891,False,False,False,False,False
Belarus,2005,1.220702,Slavic,Rest of post-Soviet,3126.07176665248,72.0310134887695,55.418,0.657396214062099,75.9345474243164,False,False,False,False,False
Belarus,2006,1.305459,Slavic,Rest of post-Soviet,3848.22350300163,72.6113815307617,55.723,0.725612161429094,79.4934234619141,False,False,False,False,False
Belarus,2007,1.393832,Slavic,Rest of post-Soviet,4735.48107556066,73.0913467407227,56.055,0.636765248499207,83.7997894287109,False,False,False,False,False
Belarus,2008,1.448514,Slavic,Rest of post-Soviet,6376.17569162063,73.5531692504883,56.488,0.960131319014907,85.5074920654297,False,False,False,False,False
Belarus,2009,1.481058,Slavic,Rest of post-Soviet,5352.48809190697,74.1909646620571,56.961,0.990305944135918,90.4933700561523,False,False,False,False,False
Belarus,2010,1.478168,Slavic,Rest of post-Soviet,6034.67885177216,74.5501403808594,57.407,1.00520855385655,95.3766859764508,False,False,False,False,False
Belarus,2011,1.524056,Slavic,Rest of post-Soviet,6527.6593428786,75.0597534179688,57.832,1.44197805594884,103.172948286202,False,False,False,False,False
Belarus,2012,1.623373,Slavic,Rest of post-Soviet,6953.21591683101,75.5281066894531,58.162,1.60323623987362,109.531699203018,False,False,False,False,False
Belarus,2013,1.673131,Slavic,Rest of post-Soviet,7998.0802045456,75.94970703125,58.402,1.60669829212816,110.320258557367,False,False,False,False,False
